time,pnl,equity,side,enter,exit
2022-01-06 07:22:00+00:00,-0.0030370816365831296,9999.906338687335,1,,tp/sl
2022-01-06 07:22:00+00:00,-0.0030370797691930546,9999.903301607566,1,,tp/sl
2022-01-06 07:22:00+00:00,-3.711142974675404e-05,9999.903264496137,1,y,
2022-01-06 07:23:00+00:00,-3.7124960353123636e-05,9999.903227371176,1,y,
2022-01-06 07:24:00+00:00,0.0039628020394090295,9999.907190173215,1,,tp/sl
2022-01-06 07:24:00+00:00,0.003962802024702363,9999.911152975239,1,,tp/sl
2022-01-07 07:00:00+00:00,-3.707904041874793e-05,9999.911115896199,1,y,
2022-01-07 07:01:00+00:00,-3.709175233066035e-05,9999.911078804447,1,y,
2022-01-07 07:02:00+00:00,0.003962843613202089,9999.91504164806,1,,tp/sl
2022-01-07 07:02:00+00:00,0.003962843598508114,9999.91900449166,1,,tp/sl
2022-01-07 07:02:00+00:00,-3.712297711675162e-05,9999.918967368683,1,y,
2022-01-07 07:03:00+00:00,-0.0030370768322160978,9999.91593029185,1,,tp/sl
2022-01-07 07:03:00+00:00,-3.7103219445223915e-05,9999.91589318863,1,y,
2022-01-07 07:04:00+00:00,-3.7130478811605055e-05,9999.91585605815,1,y,
2022-01-07 07:05:00+00:00,0.003962811110520888,9999.91981886926,1,,tp/sl
2022-01-07 07:06:00+00:00,0.0039627660992330935,9999.92378163536,1,,tp/sl
2022-01-07 07:10:00+00:00,-3.7071558598067526e-05,9999.923744563801,1,y,
2022-01-07 07:11:00+00:00,-3.7086152054446925e-05,9999.923707477648,1,y,
2022-01-07 07:12:00+00:00,0.003962854005639614,9999.927670331654,1,,tp/sl
2022-01-07 07:12:00+00:00,0.003962853990948584,9999.931633185644,1,,tp/sl
2022-01-07 07:12:00+00:00,-3.711763614182255e-05,9999.931596068009,1,y,
2022-01-07 07:13:00+00:00,-3.710052596806489e-05,9999.931558967482,1,y,
2022-01-07 07:14:00+00:00,-0.0030370651507750034,9999.928521902331,1,,tp/sl
2022-01-07 07:14:00+00:00,-3.7087749265820685e-05,9999.928484814582,1,y,
2022-01-07 07:15:00+00:00,-0.0030370332851158647,9999.925447781297,1,,tp/sl
